NEGERI,LOKALITI,NAMA CALON,PARTI,BILANGAN UNDI
JH,SEGAMAT,SUBRAMANIAM A/L KV SATHASIVAM,MIC,20037
JH,SEGAMAT,DATO CHUA JUI MENG,PKR,18820
JH,SEKIJANG,ANUAR BIN ABD MANAP,UMNO,19934
JH,SEKIJANG,JULAILEY BIN JEMADI,PKR,16927
JH,LABIS,CHUA TEE YONG,MCA,15821
JH,LABIS,RAMAKRISHNAN A/L SUPPIAH,DAP,15468
JH,PAGOH,MUHYIDDIN BIN MOHD YASSIN,UMNO,26274
JH,PAGOH,MOHAMAD ROZALI BIN JAMIL,PAS,13432
JH,LEDANG,HAMIM BIN SAMURI,UMNO,30619
JH,LEDANG,HASSAN BIN ABDUL KARIM,PKR,28652
JH,BAKRI,ER TECK HWA,DAP,31118
JH,BAKRI,LEE CHING YONG,MCA,26051
JH,MUAR,RAZALI BIN IBRAHIM,UMNO,20867
JH,MUAR,NOR HIZWAN BIN AHMAD,PKR,19221
JH,PARIT SULONG,NORAINI BINTI AHMAD,UMNO,30258
JH,PARIT SULONG,KHAIRUDDIN BIN A RAHIM,PAS,18505
JH,AYER HITAM,WEE KA SIONG,MCA,22045
JH,AYER HITAM,HU PANG CHAW,PAS,14735
JH,SRI GADING,AB AZIZ BIN KAPRAWI,UMNO,22453
JH,SRI GADING,MOHD KHUZZAN BIN ABU BAKAR,PKR,16692
JH,BATU PAHAT,MOHD IDRIS BIN JUSI,PKR,38667
JH,BATU PAHAT,MOHD PUAD BIN ZARKASHI,UMNO,36935
JH,SIMPANG RENGGAM,LIANG TECK MENG,GERAKAN,19754
JH,SIMPANG RENGGAM,SUHAIZAN BIN KAIAT,PAS,14048
JH,KLUANG,LIEW CHIN TONG,DAP,40574
JH,KLUANG,HOU KOK CHUNG,MCA,33215
JH,SEMBRONG,HISHAMMUDDIN BIN DATUK HUSSEIN,UMNO,22841
JH,SEMBRONG,ONN BIN ABU BAKAR,PKR,12210
JH,MERSING,ABD LATIFF BIN AHMAD,UMNO,26184
JH,MERSING,ROSLAN BIN NIKMAT,PAS,10437
JH,TENGGARA,HALIMAH BINTI MOHD SADIQUE,UMNO,25698
JH,TENGGARA,MUHAMAD SAID BIN JONIT,PAS,8502
JH,KOTA TINGGI,NOOR EHSANUDDIN BIN MOHD HARUN NARRASHID,UMNO,30373
JH,KOTA TINGGI,ONN BIN JAAFAR,PAS,5799
JH,PENGERANG,AZALINA BINTI OTHMAN,UMNO,26992
JH,PENGERANG,TENGKU INTAN BINTI TENGKU ABDUL HAMID,PKR,4484
JH,PENGERANG,MOHD AZAMAN BIN JOHARI,IND,795
JH,TEBRAU,KHOO SOO SEANG,MCA,39985
JH,TEBRAU,CHOONG SHIAU YOON,PKR,38218
JH,PASIR GUDANG,NORMALA BINTI ABDUL SAMAD,UMNO,43834
JH,PASIR GUDANG,AHMAD FAIDHI BIN SAIDI,PKR,42899
JH,JOHOR BAHRU,SHARIL @ SHAHRIR BIN AB SAMAD,UMNO,44285
JH,JOHOR BAHRU,MD HASHIM BIN HUSSEIN,PKR,34151
JH,PULAI,NUR JAZLAN BIN MOHAMED,UMNO,43751
JH,PULAI,SALAHUDDIN BIN AYUB,PAS,40525
JH,ISKANDAR PUTERI,LIM KIT SIANG,DAP,54284
JH,ISKANDAR PUTERI,A GHANI BIN OTHMAN,UMNO,39522
JH,KULAI,TEO NIE CHING,DAP,43338
JH,KULAI,TAY CHIN HEIN,MCA,29888
JH,KULAI,SURENDIRAN A/L KUPPAYAH,IND,238
JH,PONTIAN,AHMAD BIN MASLAN,UMNO,27804
JH,PONTIAN,HANIFF @ GHAZALI BIN HOSMAN,PKR,14077
JH,TANJUNG PIAI,WEE JECK SENG,MCA,25038
JH,TANJUNG PIAI,MAHDZIR BIN IBRAHIM,DAP,19581
KD,LANGKAWI,NAWAWI BIN AHMAD,UMNO,21407
KD,LANGKAWI,AHMAD BIN ABDULLAH,PKR,9546
KD,LANGKAWI,MARINA BINTI HUSSEIN,IND,180
KD,JERLUN,OTHMAN BIN AZIZ,UMNO,24161
KD,JERLUN,ISMAIL BIN SALLEH,PAS,20891
KD,KUBANG PASU,MOHD JOHARI BIN BAHARUM,UMNO,33334
KD,KUBANG PASU,MOHD JAMAL BIN NASIR,PAS,22890
KD,PADANG TERAP,MAHDZIR BIN KHALID,UMNO,20654
KD,PADANG TERAP,MOHD NASIR BIN ZAKARIA,PAS,16212
KD,PADANG TERAP,MUHAMAD BAZLI BIN ABDULLAH,IND,243
KD,POKOK SENA,DATO' MAHFUZ BIN OMAR,PAS,36198
KD,POKOK SENA,SHAHLAN BIN ISMAIL,UMNO,32263
KD,ALOR SETAR,GOOI HSIAO - LEUNG,PKR,27364
KD,ALOR SETAR,CHOR CHEE HEUNG,MCA,25491
KD,ALOR SETAR,ABDUL FISOL BIN MOHD ISA,BERJASA,3530
KD,ALOR SETAR,JAWAHAR RAJA BIN ABDUL WAHID,BERSAMA,257
KD,KUALA KEDAH,AZMAN BIN ISMAIL,PKR,42870
KD,KUALA KEDAH,ZAKI ZAMANI BIN ABD RASHID,UMNO,37923
KD,PENDANG,OTHMAN BIN ABDUL,UMNO,32165
KD,PENDANG,MOHAMAD BIN SABU,PAS,29527
KD,JERAI,JAMIL KHIR BIN BAHAROM,UMNO,32429
KD,JERAI,MOHD FIRDAUS BIN JAAFAR,PAS,31233
KD,SIK,MANSOR BIN ABD RAHMAN,UMNO,22084
KD,SIK,CHE UDA BIN CHE NIK,PAS,19277
KD,MERBOK,ISMAIL BIN DAUT,UMNO,38538
KD,MERBOK,NOR AZRINA BINTI SURIP,PKR,34416
KD,SUNGAI PETANI,JOHARI BIN ABDUL,PKR,44194
KD,SUNGAI PETANI,SYAMSYUL ANUAR BIN CHE MEY @ ISMAIL,UMNO,34646
KD,SUNGAI PETANI,ONG WEI SIN,IND,772
KD,SUNGAI PETANI,SUHAIMI BIN HASHIM,KITA,200
KD,BALING,ABDUL AZEEZ BIN ABDUL RAHIM,UMNO,43504
KD,BALING,NAJMI BIN HJ AHMAD,PAS,38319
KD,PADANG SERAI,N SURENDRAN A/L K NAGARAJAN,PKR,34151
KD,PADANG SERAI,HENG SEAI KIE,MCA,25714
KD,PADANG SERAI,HAMIDI BIN ABU HASSAN,BERJASA,2630
KD,PADANG SERAI,GOBALAKRISHNAN A/L NAGAPAN,IND,390
KD,PADANG SERAI,OTHMAN BIN WAWI,IND,279
KD,KULIM BANDAR BAHARU,ABD AZIZ BIN SHEIKH FADZIR,UMNO,26782
KD,KULIM BANDAR BAHARU,SAIFUDDIN NASUTION BIN ISMAIL,PKR,24911
KE,TUMPAT,KAMARUDIN BIN JAFFAR,PAS,46151
KE,TUMPAT,MANSOR BIN SALLEH,UMNO,35527
KE,PENGKALAN CHEPA,IZANI BIN HUSIN,PAS,34617
KE,PENGKALAN CHEPA,DALI BIN HUSIN,UMNO,19497
KE,KOTA BAHRU,TAKIYUDDIN BIN HASSAN,PAS,40620
KE,KOTA BAHRU,MOHAMAD FATMI BIN CHE SALLEH,UMNO,24650
KE,KOTA BAHRU,MOHD ZAKIMAN BIN ABU BAKAR,IND,148
KE,PASIR MAS,NIK MOHAMAD ABDUH BIN NIK ABDUL AZIZ,PAS,33431
KE,PASIR MAS,IBRAHIM BIN ALI,IND,25384
KE,RANTAU PANJANG,SITI ZAILAH BINTI MOHD YUSOFF,PAS,23724
KE,RANTAU PANJANG,GHAZALI BIN ISMAIL,UMNO,17448
KE,KUBANG KERIAN,AHMAD BAIHAKI BIN ATIQULLAH,PAS,35510
KE,KUBANG KERIAN,ANUAR BIN SAFIAN,UMNO,18769
KE,BACHOK,AHMAD MARZUK BIN SHAARY,PAS,35419
KE,BACHOK,AWANG ADEK BIN HUSSIN,UMNO,35218
KE,KETEREH,ANNUAR BIN MUSA,UMNO,26912
KE,KETEREH,AB AZIZ BIN AB KADIR,PKR,25938
KE,TANAH MERAH,IKMAL HISHAM BIN ABDUL AZIZ,UMNO,26505
KE,TANAH MERAH,NIK MAHMOOD BIN NIK HASSAN,PKR,22278
KE,TANAH MERAH,AHMAD FIZAL BIN CHE HARUN,IND,213
KE,PASIR PUTEH,NIK MAZIAN BIN NIK MOHAMAD,PAS,33579
KE,PASIR PUTEH,TUAN MUSTAFFA BIN TUAN MAT,UMNO,31691
KE,MACHANG,AHMAD JAZLAN BIN YAAKUB,UMNO,25660
KE,MACHANG,WAN ZAWAWI BIN WAN ISMAIL,PKR,24855
KE,JELI,MUSTAPA BIN MOHAMED,UMNO,21223
KE,JELI,MOHD APANDI BIN MOHAMAD,PAS,15954
KE,KUALA KRAI,MOHD HATTA BIN MD RAMLI,PAS,27919
KE,KUALA KRAI,TUAN AZIZ BIN TUAN HAMAT @ TUAN MAT,UMNO,25876
KE,GUA MUSANG,TENGKU RAZALEIGH BIN TENGKU MOHD HAMZAH,UMNO,21367
KE,GUA MUSANG,WAN ABD RAHIM BIN WAN ABDULLAH,PAS,12954
MK,MASJID TANAH,MAS ERMIEYATI BINTI SAMSUDIN,UMNO,27688
MK,MASJID TANAH,MOHD NASAIE BIN ISMAIL,PAS,11488
MK,ALOR GAJAH,KOH NAI KWONG,MCA,32594
MK,ALOR GAJAH,DAMIAN YEO SHEN LI,DAP,20997
MK,TANGGA BATU,ABU BAKAR BIN MOHAMAD DIAH,UMNO,39468
MK,TANGGA BATU,RAHIM BIN ALI,PKR,23835
MK,BUKIT KATIL,SHAMSUL ISKANDAR @ YUSRE BIN MOHD AKIN,PKR,46167
MK,BUKIT KATIL,HAJI MOHD ALI BIN HAJI MOHD RUSTAM,UMNO,40720
MK,KOTA MELAKA,SIM TONG HIM,DAP,49521
MK,KOTA MELAKA,YEE KOK WAH,MCA,28775
MK,JASIN,AHMAD BIN HAMZAH,UMNO,33736
MK,JASIN,RAHMAT BIN YUSOF,PKR,21973
NS,JELEBU,ZAINUDIN BIN ISMAIL,UMNO,22114
NS,JELEBU,RAJ MUNNI BINTI SABU,PAS,15013
NS,JEMPOL,MOHD ISA BIN ABDUL SAMAD,UMNO,31109
NS,JEMPOL,WAN AISHAH BINTI WAN ARIFFIN,PAS,22495
NS,SEREMBAN,LOKE SIEW FOOK,DAP,45628
NS,SEREMBAN,YEOW CHAI THIAM,MCA,33075
NS,SEREMBAN,ABDUL HALIM BIN ABDULLAH,BERJASA,6866
NS,SEREMBAN,JOHN A/L FERNANDEZ,IND,221
NS,SEREMBAN,BUJANG BIN ABU,IND,83
NS,KUALA PILAH,HASAN BIN MALEK,UMNO,24507
NS,KUALA PILAH,MOHD NAZREE BIN MOHD YUNUS,PKR,14846
NS,RASAH,TEO KOK SEONG,DAP,48964
NS,RASAH,TEO ENG KIAN,MCA,25479
NS,REMBAU,KHAIRY JAMALUDDIN ABU BAKAR,UMNO,43053
NS,REMBAU,RADZALI BIN A GHANI,PKR,24696
NS,REMBAU,ABDUL AZIZ BIN HASSAN,IND,325
NS,PORT DICKSON,KAMARUL BAHARIN BIN ABBAS,PKR,29848
NS,PORT DICKSON,MOGAN A/L VELAYATHAM,MIC,28269
NS,PORT DICKSON,KAMARUDIN KUMARAVEL BIN ABDULLAH,IND,394
NS,TAMPIN,SHAZIMAN BIN ABU MANSOR,UMNO,29390
NS,TAMPIN,ABDUL RAZAKEK BIN ABDUL RAHIM,PAS,18228
PH,CAMERON HIGHLANDS,PALANIVEL A/L K GOVINDASAMY,MIC,10506
PH,CAMERON HIGHLANDS,MANOGARAN A/L MARIMUTHU,DAP,10044
PH,CAMERON HIGHLANDS,MOHD SHOKRI BIN MAHMOOD,BERJASA,912
PH,CAMERON HIGHLANDS,ALAGU A/L THANGARAJOO,IND,308
PH,CAMERON HIGHLANDS,KISHO KUMAR A/L KATHIRVELOO,IND,101
PH,LIPIS,ABDUL RAHMAN BIN MOHAMAD,UMNO,14863
PH,LIPIS,MOHD MAHYUDDIN BIN GHAZAL @ RAZALI,PAS,11394
PH,LIPIS,AISHATON BINTI ABU BAKAR,IND,303
PH,RAUB,MOHD ARIFF SABRI BIN ABDUL AZIZ,DAP,23415
PH,RAUB,HOH KHAI MUN,MCA,20601
PH,JERANTUT,AHMAD NAZLAN BIN IDRIS,UMNO,26544
PH,JERANTUT,DR HAMZAH BIN JAAFFAR,PAS,22012
PH,INDERA MAHKOTA,FAUZI BIN ABDUL RAHMAN,PKR,30584
PH,INDERA MAHKOTA,ADNAN BIN WAN MAMAT,UMNO,23061
PH,INDERA MAHKOTA,PONUSAMY A/L GOVINDASAMY,IND,193
PH,KUANTAN,FUZIAH BINTI SALLEH,PKR,25834
PH,KUANTAN,MOHAMED SUFFIAN BIN AWANG,UMNO,21319
PH,PAYA BESAR,ABDUL MANAN BIN ISMAIL,UMNO,23747
PH,PAYA BESAR,MURNIE HIDAYAH BINTI ANUAR,PKR,16032
PH,PAYA BESAR,ZAHARI BIN MAMAT,IND,272
PH,PEKAN,MOHD NAJIB BIN HJ ABD RAZAK,UMNO,51278
PH,PEKAN,MOHD FARIZ B ABD TALIB @ MUSA,PKR,15665
PH,MARAN,ISMAIL BIN ABD MUTTALIB,UMNO,19249
PH,MARAN,MUJIBUR RAHMAN BIN ISHAK,PAS,12774
PH,KUALA KRAU,ISMAIL BIN MOHAMED SAID,UMNO,21575
PH,KUALA KRAU,SHAHRIL AZMAN BIN ABD HALIM,PAS,15370
