NEGERI,LOKALITI,NAMA CALON,PARTI,BILANGAN UNDI
JH,SEGAMAT,SUBRAMANIAM A/L K.V SATHASIVAM,BN,"18,584"
JH,SEGAMAT,SANTHARA KUMAR A/L RAMANAIDU,PKR,"24,060"
JH,SEGAMAT,KHAIRUL FAIZI BIN AHMAD KAMIL,PAS,"2,676"
JH,SEKIJANG,AYUB BIN RAHMAT,BN,"18,278"
JH,SEKIJANG,NATRAH BINTI ISMAIL,PKR,"19,559"
JH,LABIS,CHUA TEE YONG ,BN,"13,567"
JH,LABIS,PANG HOK LIONG,PKR,"16,977"
JH,LABIS,SARCHU BIN SAWAL,PAS,"2,034"
JH,PAGOH,ISMAIL BIN MOHAMED,BN,"16,631"
JH,PAGOH,MAHIADDIN BIN MD YASIN,PKR,"23,558"
JH,PAGOH,AHMAD NAWFAL BIN MAHFODZ,PAS,"2,483"
JH,LEDANG,HAMIM BIN SAMURI,BN,"26,040"
JH,LEDANG,SYED IBRAHIM BIN SYED NOR,PKR,"34,706"
JH,LEDANG,RUSMAN BIN KEMIN,PAS,"4,668"
JH,BAKRI,KOH CHON CHAI,BN,"15,507"
JH,BAKRI,ZARUL @ MOHAMAD ZAHRUL BIN SALLEH,PAS,"7,575"
JH,BAKRI,YEO BEE YIN ,PKR,"38,718"
JH,MUAR,RAZALI BIN IBRAHIM,BN,"15,388"
JH,MUAR,SYED SADDIQ BIN SYED ABDUL RAHMAN,PKR,"22,341"
JH,MUAR,ABDUL AZIZ BIN TALIB ,PAS,"4,354"
JH,PARIT SULONG,NORAINI BINTI AHMAD,BN,"24,481"
JH,PARIT SULONG,ANIS AFIDA BINTI MOHD AZLI,PKR,"18,140"
JH,PARIT SULONG,AHMAD ROSDI BIN BAHARI,PAS,"7,148"
JH,AYER HITAM,WEE KA SIONG,BN,"17,076"
JH,AYER HITAM,MARDI BIN MARWAN,PAS,"4,975"
JH,AYER HITAM,LIEW CHIN TONG,PKR,"16,773"
JH,SRI GADING,AB AZIZ BIN KAPRAWI,BN,"18,223"
JH,SRI GADING,SHARUDDIN BIN MD SALLEH ,PKR,"21,511"
JH,SRI GADING,M ASH'ARI BIN SIDON,PAS,"4,548"
JH,BATU PAHAT,HALIZA BINTI ABDULLAH,BN,"28,035"
JH,BATU PAHAT,MAHFODZ BIN MOHAMED,PAS,"8,173"
JH,BATU PAHAT,MOHD RASHID BIN HASNON,PKR,"45,929"
JH,SIMPANG RENGGAM,LIANG TECK MENG,BN,"14,682"
JH,SIMPANG RENGGAM,MASZLEE BIN MALIK,PKR,"18,157"
JH,SIMPANG RENGGAM,MOHD JUBRI BIN SELAMAT ,PAS,"2,983"
JH,KLUANG,GAN PING SHOU @ GAN PING SIEU,BN,"24,618"
JH,KLUANG,WONG SHU QI,PKR,"47,671"
JH,KLUANG,MUHAMMAD HASBULLAH BIN MD NAJIB ,PAS,"8,242"
JH,SEMBRONG,HISHAMMUDDIN BIN DATUK HUSSEIN,BN,"21,353"
JH,SEMBRONG,ONN BIN ABU BAKAR,PKR,"14,691"
JH,MERSING,ABD. LATIFF BIN AHMAD,BN,"19,806"
JH,MERSING,A. RAHMAN BIN A. HAMID,PAS,"6,215"
JH,MERSING,MD. NASIR BIN HASHIM,PKR,"11,347"
JH,TENGGARA,ADHAM BIN BABA,BN,"20,142"
JH,TENGGARA,YUHANITA BINTI YUNAN,PAS,"2,683"
JH,TENGGARA,NORJEPRI BIN MOHAMED JELANI,PKR,"14,209"
JH,KOTA TINGGI,HALIMAH BINTI MOHD SADIQUE,BN,"26,407"
JH,KOTA TINGGI,AZLINDA BINTI ABDUL LATIF ,PKR,"11,786"
JH,PENGERANG,AZALINA BINTI OTHMAN,BN,"21,829"
JH,PENGERANG,NORLIZA BINTI NGADIRAN,PKR,"10,412"
JH,TEBRAU,HOU KOK CHUNG,BN,"27,310"
JH,TEBRAU,CHOONG SHIAU YOON,PKR,"64,535"
JH,TEBRAU,ABDULLAH BIN HUSIN,PAS,"12,098"
JH,PASIR GUDANG,MOHAMED KHALED BIN NORDIN,BN,"36,889"
JH,PASIR GUDANG,AB. AZIZ BIN ABDULLAH,PAS,"6,278"
JH,PASIR GUDANG,HASSAN BIN ABDUL KARIM,PKR,"61,615"
JH,PASIR GUDANG,SEY JOCK @ CHEE JOCK,BEBAS,227
JH,JOHOR BAHRU,SHARIL@SHAHRIR BIN AB SAMAD,BN,"30,270"
JH,JOHOR BAHRU,AKMAL NASRULLAH BIN MOHD NASIR,PKR,"50,052"
JH,PULAI,NUR JAZLAN BIN MOHAMED,BN,"26,523"
JH,PULAI,MOHD MAZRI BIN YAHYA,PAS,"4,332"
JH,PULAI,SALAHUDDIN BIN AYUB,PKR,"55,447"
JH,PULAI,YAP KENG TAK,BEBAS,591
JH,ISKANDAR PUTERI,TEOH SEW HOCK,BN,"35,862"
JH,ISKANDAR PUTERI,LIM KIT SIANG ,PKR,"80,726"
JH,KULAI,TANG NAI SOON,BN,"22,564"
JH,KULAI,TEO NIE CHING,PKR,"55,312"
JH,KULAI,JUWAHIR BIN AMIN,PAS,"6,667"
JH,PONTIAN,AHMAD BIN MASLAN,BN,"21,132"
JH,PONTIAN,BAHAROM BIN MOHAMAD,PAS,"4,295"
JH,PONTIAN,KARMAINE BIN SARDINI,PKR,"20,299"
JH,TANJUNG PIAI,WEE JECK SENG,BN,"20,731"
JH,TANJUNG PIAI,MD FARID BIN MD RAFIK,PKR,"21,255"
JH,TANJUNG PIAI,NORDIN BIN OTHMAN,PAS,"2,962"
KD,LANGKAWI,MAHATHIR BIN MOHAMAD,PKR,"18,954"
KD,LANGKAWI,ZUBIR BIN AHMAD,PAS,"5,512"
KD,LANGKAWI,NAWAWI BIN AHMAD,BN,"10,061"
KD,JERLUN,OTHMAN BIN AZIZ,BN,"12,413"
KD,JERLUN,ABD. GHANI BIN AHMAD,PAS,"12,829"
KD,JERLUN,MUKHRIZ MAHATHIR,PKR,"18,695"
