CODE_LOKALITI,LOKALITI,undi_biasa_turnout,undi_18,undi_biasa,total,total_ge14
P.140,SEGAMAT,0.83,3335,66025,69360,55350.0
P.141,SEKIJANG,0.84,3822,60159,63981,45596.0
P.142,LABIS,0.82,2390,47456,49846,40356.0
P.143,PAGOH,0.85,4023,65916,69939,51512.0
P.144,LEDANG,0.86,6454,98123,104577,77474.0
P.145,BAKRI,0.85,5168,92167,97335,73883.0
P.146,MUAR,0.84,4037,64888,68925,50843.0
P.147,PARIT SULONG,0.85,4668,74816,79484,59609.0
P.148,AYER HITAM,0.85,3847,57194,61041,46157.0
P.149,SRI GADING,0.87,5769,72833,78602,52119.0
P.150,BATU PAHAT,0.85,7553,126357,133910,98543.0
P.151,SIMPANG RENGGAM,0.83,3495,55538,59033,43998.0
P.152,KLUANG,0.84,7451,124891,132342,96915.0
P.153,SEMBRONG,0.83,2686,52296,54982,44137.0
P.154,MERSING,0.8,3625,62650,66275,48176.0
P.155,TENGGARA,0.84,5034,62260,67294,44749.0
P.156,KOTA TINGGI,0.84,3102,58189,61291,46677.0
P.157,PENGERANG,0.83,3027,52289,55316,40479.0
P.158,TEBRAU,0.86,21595,201706,223301,123033.0
P.159,PASIR GUDANG,0.86,15067,183418,198485,124172.0
P.160,JOHOR BAHRU,0.81,5746,130622,136368,101409.0
P.161,PULAI,0.83,11397,153916,165313,106268.0
P.162,ISKANDAR PUTERI,0.86,16640,205797,222437,138299.0
P.163,KULAI,0.86,11607,139640,151247,99147.0
P.164,PONTIAN,0.84,4250,70962,75212,55570.0
P.165,TANJUNG PIAI,0.86,4131,66548,70679,53528.0
P.004,LANGKAWI,0.83,5340,61437,66777,42697.0
P.005,JERLUN,0.83,3829,63772,67601,54132.0
P.006,KUBANG PASU,0.83,8025,100192,108217,73881.0
P.007,PADANG TERAP,0.86,3759,56047,59806,46644.0
P.008,POKOK SENA,0.83,6557,108281,114838,86892.0
P.009,ALOR SETAR,0.81,5429,100565,105994,80272.0
P.010,KUALA KEDAH,0.82,8031,124469,132500,97753.0
P.011,PENDANG,0.85,5778,88769,94547,74867.0
P.012,JERAI,0.84,6694,98307,105001,79976.0
P.013,SIK,0.85,3943,59183,63126,50385.0
P.014,MERBOK,0.83,10151,122293,132444,87782.0
P.015,SUNGAI PETANI,0.83,12550,156297,168847,112577.0
P.016,BALING,0.86,8286,123813,132099,107213.0
P.017,PADANG SERAI,0.84,12053,121814,133867,84834.0
P.018,KULIM BANDAR BAHARU,0.83,5582,84559,90141,66587.0
P.019,TUMPAT,0.8,10406,138965,149371,110924.0
P.020,PENGKALAN CHEPA,0.81,8303,98679,106982,75384.0
P.021,KOTA BAHRU,0.77,6293,109157,115450,88708.0
P.022,PASIR MAS,0.78,6176,88368,94544,71222.0
P.023,RANTAU PANJANG,0.75,6561,86687,93248,66115.0
P.024,KUBANG KERIAN,0.79,8571,105069,113640,82018.0
P.025,BACHOK,0.82,9142,114041,123183,92606.0
P.026,KETEREH,0.83,5925,79356,85281,65238.0
P.027,TANAH MERAH,0.81,6763,92019,98782,73172.0
P.028,PASIR PUTEH,0.82,8159,104911,113070,85411.0
P.029,MACHANG,0.82,5836,82989,88825,68387.0
P.030,JELI,0.83,3966,55832,59798,47470.0
P.031,KUALA KRAI,0.8,6531,85804,92335,70348.0
P.032,GUA MUSANG,0.79,5797,64457,70254,52524.0
P.134,MASJID TANAH,0.84,4340,64834,69174,51441.0
P.135,ALOR GAJAH,0.84,5919,87392,93311,70364.0
P.136,TANGGA BATU,0.85,8428,107570,115998,83213.0
P.137,BUKIT KATIL,0.87,7580,110913,118493,89364.0
P.138,KOTA MELAKA,0.84,8917,155223,164140,126848.0
P.139,JASIN,0.86,6163,90045,96208,73432.0
P.126,JELEBU,0.82,2825,56736,59561,48522.0
P.127,JEMPOL,0.81,4806,91007,95813,72122.0
P.128,SEREMBAN,0.85,10489,146755,157244,110168.0
P.129,KUALA PILAH,0.83,3198,60049,63247,49801.0
P.130,RASAH,0.84,10924,144972,155896,102838.0
P.131,REMBAU,0.85,10035,123520,133555,88365.0
P.132,PORT DICKSON,0.83,6892,97558,104450,75212.0
P.133,TAMPIN,0.81,4057,77042,81099,60765.0
P.078,CAMERON HIGHLANDS,0.79,3298,42722,46020,32048.0
P.079,LIPIS,0.81,2835,44289,47124,35294.0
P.080,RAUB,0.81,3954,71110,75064,57723.0
P.081,JERANTUT,0.81,5536,81515,87051,63609.0
P.082,INDERA MAHKOTA,0.84,10225,110324,120549,77208.0
P.083,KUANTAN,0.83,5699,81898,87597,62696.0
P.084,PAYA BESAR,0.81,5789,73955,79744,55135.0
P.085,PEKAN,0.81,8408,111035,119443,88899.0
P.086,MARAN,0.81,3287,49841,53128,41036.0
P.087,KUALA KRAU,0.83,3642,56895,60537,47264.0
P.088,TEMERLOH,0.83,7176,99653,106829,75081.0
P.089,BENTONG,0.83,4682,82376,87058,67359.0
P.090,BERA,0.82,4449,73220,77669,58711.0
P.091,ROMPIN,0.82,5799,83332,89131,61918.0
P.054,GERIK,0.78,3308,44257,47565,35903.0
P.055,LENGGONG,0.8,1988,34962,36950,29752.0
P.056,LARUT,0.82,3913,61806,65719,49453.0
P.057,PARIT BUNTAR,0.84,3802,64700,68502,51860.0
P.058,BAGAN SERAI,0.82,5050,75243,80293,59293.0
P.059,BUKIT GANTANG,0.83,5383,88870,94253,69873.0
P.060,TAIPING,0.79,5739,115827,121566,90729.0
P.061,PADANG RENGAS,0.83,1975,36711,38686,30996.0
P.062,SUNGAI SIPUT,0.79,4051,68344,72395,55002.0
P.063,TAMBUN,0.82,11082,149476,160558,107763.0
P.064,IPOH TIMOR,0.78,4418,113760,118178,91486.0
P.065,IPOH BARAT,0.79,4922,109732,114654,84874.0
P.066,BATU GAJAH,0.78,5596,106300,111896,81399.0
P.067,KUALA KANGSAR,0.83,2512,44473,46985,36954.0
P.068,BERUAS,0.77,5947,102302,108249,79794.0
P.069,PARIT,0.82,2882,45033,47915,35910.0
P.070,KAMPAR,0.77,4026,85868,89894,69436.0
P.071,GOPENG,0.81,8986,134671,143657,99167.0
P.072,TAPAH,0.79,3239,58707,61946,47128.0
P.073,PASIR SALAK,0.81,4516,70245,74761,54671.0
P.074,LUMUT,0.82,6150,86822,92972,67157.0
P.075,BAGAN DATOK,0.8,2814,55369,58183,47309.0
P.076,TELUK INTAN,0.82,4347,82875,87222,66487.0
P.077,TANJONG MALIM,0.81,5154,88719,93873,68468.0
P.001,PADANG BESAR,0.81,3566,56626,60192,46096.0
P.002,KANGAR,0.82,4682,70177,74859,55938.0
P.003,ARAU,0.84,3640,57236,60876,48187.0
P.041,KEPALA BATAS,0.88,6227,76854,83081,60523.0
P.042,TASEK GELUGOR,0.87,5285,75583,80868,60850.0
P.043,BAGAN,0.85,4303,85144,89447,71583.0
P.044,PERMATANG PAUH,0.86,6746,100440,107186,81789.0
P.045,BUKIT MERTAJAM,0.85,7165,113654,120819,88998.0
P.046,BATU KAWAN,0.85,5659,83153,88812,65394.0
P.047,NIBONG TEBAL,0.86,6981,93081,100062,73383.0
P.048,BUKIT BENDERA,0.81,3327,89194,92521,75069.0
P.049,TANJONG,0.81,1026,51777,52803,49586.0
P.050,JELUTONG,0.84,3909,90080,93989,76991.0
P.051,BUKIT GELUGOR,0.83,5575,111559,117134,91595.0
P.052,BAYAN BARU,0.84,6567,113073,119640,90780.0
P.053,BALIK PULAU,0.86,5312,74952,80264,59086.0
P.092,SABAK BERNAM,0.83,3103,48506,51609,40863.0
P.093,SUNGAI BESAR,0.86,3828,60554,64382,48739.0
P.094,HULU SELANGOR,0.86,12396,141921,154317,100990.0
P.095,TANJONG KARANG,0.87,3840,58354,62194,47198.0
P.096,KUALA SELANGOR,0.88,8222,94729,102951,69397.0
P.097,SELAYANG,0.86,15138,166401,181539,116176.0
P.098,GOMBAK,0.85,13739,193005,206744,141112.0
P.099,AMPANG,0.84,8461,125033,133494,91737.0
P.100,PANDAN,0.85,8300,140430,148730,101319.0
P.101,HULU LANGAT,0.88,14890,152012,166902,102363.0
P.102,BANGI,0.88,26140,277290,303430,178790.0
P.103,PUCHONG,0.88,11765,141096,152861,96437.0
P.104,SUBANG,0.87,15261,215679,230940,146422.0
P.105,PJ SELATAN,0.83,10098,185050,195148,140920.0
P.106,DAMANSARA,0.84,13274,225829,239103,164322.0
P.107,SUNGAI BULOH,0.87,15242,142848,158090,90707.0
P.108,SHAH ALAM,0.88,13466,152278,165744,107316.0
P.109,KAPAR,0.86,15732,173637,189369,124983.0
P.110,KLANG,0.86,11662,197251,208913,149348.0
P.111,KOTA RAJA,0.87,22248,222464,244712,149021.0
P.112,KUALA LANGAT,0.87,11586,137051,148637,102406.0
P.113,SEPANG,0.88,15312,152727,168039,104508.0
P.033,BESUT,0.83,8306,103344,111650,86627.0
P.034,SETIU,0.85,7557,99737,107294,86247.0
P.035,KUALA NERUS,0.88,7771,98181,105952,83663.0
P.036,KUALA TERENGGANU,0.85,6860,116445,123305,103611.0
